path,w,h,kb,mode,top1,top8,ncolors,sat
DAPR-2255--Audio_Hardware_I/Transistors/First_Transistor_to_Microprocessor.png,1448,1086,1438,RGB,0.271,0.701,1512,0.2
DAPR-2255--Audio_Hardware_I/Transistors/TO92_Transistors.jpg,960,717,116,RGB,0.244,0.668,409,0.023
DAPR-2255--Audio_Hardware_I/Transistors/NPN_PNP_Symbols.png,1448,1086,798,RGB,0.953,0.988,145,0.004
DAPR-2255--Audio_Hardware_I/Auxiliary_Resources/Reference_Downloads.png,1600,600,539,P,0.055,0.214,182,0.211
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Circuit_Schematic.png,960,704,15,LA,0.928,0.993,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Kirchhoff_Portrait.jpg,960,1353,304,RGB,0.107,0.642,166,0.021
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Parallel_Formula.png,1254,1254,1596,RGBA,0.391,0.568,3455,0.322
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Series_Parallel_Resistors.jpg,960,1397,16,LA,0.937,0.997,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Parallel_Resistor_Example.png,1536,1024,1512,RGB,0.396,0.718,1277,0.232
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Kvl.png,960,840,33,LA,0.948,0.992,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Kcl.png,960,935,23,LA,0.96,0.994,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Loaded_Voltage_Divider.png,1536,1024,1496,RGB,0.319,0.663,1408,0.239
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Voltage_Divider_Infographic.png,1639,960,1267,RGB,0.275,0.708,1134,0.151
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Several_Paths.jpg,2100,880,123,RGB,0.903,0.949,271,0.036
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Several_Paths.png,2100,880,32,RGB,0.966,0.997,70,0.013
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Assignment_Bench.jpg,1600,900,270,RGB,0.125,0.6,579,0.035
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Voltage_Divider.jpg,2100,880,76,RGB,0.971,0.988,135,0.007
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Voltage_Divider.png,2100,880,54,RGB,0.971,0.992,100,0.011
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/One_Path.png,2100,880,31,RGB,0.974,0.998,50,0.01
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Kirchhoffs_Laws.png,1536,1024,1606,RGB,0.233,0.754,1052,0.216
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Series_and_Parallel_Metered.png,960,372,28,LA,0.93,0.973,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Series_Voltage_Drops.png,1536,1024,1290,RGB,0.528,0.869,496,0.192
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Parallel.png,960,565,10,LA,0.929,0.995,32,0.0
DAPR-2255--Audio_Hardware_I/Series_and_Parallel_Circuits/Series_Example.png,1564,1006,1136,RGB,0.632,0.838,977,0.091
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Audio_AC_vs_Power_AC.png,1536,1024,1640,RGB,0.332,0.721,1282,0.222
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Outlet_and_Battery.jpg,1600,900,157,RGB,0.213,0.74,443,0.028
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Why_This_Matters.png,1536,1024,1751,RGB,0.286,0.61,1268,0.293
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Power_Sources_Audio.png,1536,1024,1602,RGB,0.326,0.759,1008,0.245
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/DC_Power_Sources_Audio.png,1536,1024,1562,RGB,0.444,0.729,1503,0.212
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Peak_P2P_RMS.png,2100,880,57,RGB,0.971,0.995,92,0.016
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/AC_Waveform.png,1564,1006,1283,RGB,0.245,0.594,1365,0.758
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Peak_P2P_RMS.jpg,2100,880,136,RGB,0.929,0.953,303,0.027
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Sine_Wave_Parts.png,1536,1024,1499,RGB,0.285,0.827,1024,0.215
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Peak_P2p_RMS_Voltage.png,1672,941,2046,RGBA,0.301,0.7,1472,0.267
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Nikola_Tesla.jpg,940,1260,402,L,0.096,0.51,32,0.0
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Assignment_Bench.jpg,1600,900,206,RGB,0.083,0.434,320,0.027
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/AC_vs_DC_Traces.png,2100,880,35,RGB,0.975,0.998,48,0.013
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Bench_PSU.jpg,960,1280,153,RGB,0.04,0.187,1874,0.259
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Thomas_Edison.jpg,960,1229,138,L,0.173,0.745,32,0.0
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Polarity_Phase_Delay.png,1672,941,1155,RGB,0.797,0.889,847,0.112
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Frequency_Worked_Examples.png,1600,1000,119,RGB,0.312,0.964,213,0.16
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Frequency_and_Period.png,1536,1024,1343,RGB,0.318,0.865,692,0.143
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Audio_Signal_Levels.png,1536,1024,1571,RGB,0.405,0.788,1295,0.246
DAPR-2255--Audio_Hardware_I/AC_and_DC_Electricity/Battery_Lamp_Circuit.jpg,1600,900,240,RGB,0.199,0.573,1166,0.077
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Troubleshooting_and_Diagnostics/Test_Kit_Layout.jpg,1600,900,330,RGB,0.124,0.47,627,0.052
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Troubleshooting_and_Diagnostics/Network_MIDI_Preferences.png,1600,1218,221,RGB,0.804,0.977,224,0.015
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Troubleshooting_and_Diagnostics/Audio_MIDI_Setup_MIDI_Studio.png,1693,512,264,RGB,0.727,0.83,714,0.11
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Troubleshooting_and_Diagnostics/Troubleshooting_Cable_Pulled.jpg,1600,900,173,RGB,0.128,0.641,497,0.334
DAPR-2255--Audio_Hardware_I/Resistors/Color_Code_Chart_Dark.png,1243,1266,794,RGB,0.64,0.759,1053,0.308
DAPR-2255--Audio_Hardware_I/Resistors/PCB_Resistor.jpg,960,540,106,RGB,0.022,0.124,3380,0.437
DAPR-2255--Audio_Hardware_I/Resistors/Overview_Banner.png,1600,600,606,P,0.163,0.573,196,0.086
DAPR-2255--Audio_Hardware_I/Resistors/Audio_Applications_Infographic.png,1563,1006,1667,RGB,0.441,0.696,1552,0.211
DAPR-2255--Audio_Hardware_I/Resistors/Potentiometer_Symbol.jpg,960,768,6,LA,0.936,1.0,22,0.0
DAPR-2255--Audio_Hardware_I/Resistors/In_Circuit_Parallel_Path.jpg,1600,900,238,RGB,0.091,0.38,803,0.072
DAPR-2255--Audio_Hardware_I/Resistors/Assorted_Types.jpg,796,966,106,RGB,0.158,0.657,1903,0.07
DAPR-2255--Audio_Hardware_I/Resistors/Color_Digit_Chart.jpg,2100,880,161,RGB,0.661,0.731,1284,0.141
DAPR-2255--Audio_Hardware_I/Resistors/Symbol_Iec.jpg,960,320,1,LA,0.923,1.0,2,0.0
DAPR-2255--Audio_Hardware_I/Resistors/Four_Band_Worked.png,2100,880,45,RGB,0.846,0.986,109,0.058
DAPR-2255--Audio_Hardware_I/Resistors/Assignment_Bench.jpg,1600,900,292,RGB,0.255,0.79,1137,0.039
DAPR-2255--Audio_Hardware_I/Resistors/Power_Ratings.jpg,960,1280,219,RGB,0.12,0.41,2619,0.226
DAPR-2255--Audio_Hardware_I/Resistors/Ldr.jpg,745,745,296,RGB,0.05,0.311,903,0.102
DAPR-2255--Audio_Hardware_I/Resistors/Symbol_Ansi.jpg,960,360,2,LA,0.96,1.0,5,0.0
DAPR-2255--Audio_Hardware_I/Resistors/Color_Code_Light.png,960,978,70,RGBA,0.661,0.821,444,0.181
DAPR-2255--Audio_Hardware_I/Resistors/Smd_Resistors.jpg,932,1073,285,RGB,0.02,0.117,2540,0.524
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/VLAN_Segmentation.png,1600,900,52,RGBA,0.69,0.992,124,0.028
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/RTP_Two_Interfaces_One_Cable.jpg,1600,900,273,RGB,0.182,0.52,479,0.186
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/Managed_Switch.jpg,1600,900,230,RGB,0.171,0.528,877,0.276
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/RTP_Session_Handshake.png,1600,900,34,RGBA,0.958,0.994,75,0.008
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/Serial_vs_Network_Transport.png,1600,900,752,RGBA,0.544,0.742,416,0.135
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/USB_B_Cable_End.jpg,1600,900,262,RGB,0.504,0.734,311,0.018
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/Cross_Protocol_Isolation.png,1600,900,55,RGBA,0.952,0.99,76,0.016
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Over_USB_and_Network_Systems/Jitter_Buffer_Tradeoff.png,1600,900,723,RGBA,0.698,0.839,536,0.081
DAPR-2255--Audio_Hardware_I/Capacitors/History_Timeline.png,1536,1024,1612,RGB,0.371,0.755,1050,0.244
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_on_PCB.jpg,1000,662,127,RGB,0.103,0.248,2340,0.124
DAPR-2255--Audio_Hardware_I/Capacitors/Ceramic_3_Digit_Code.png,1536,1024,1373,RGB,0.603,0.829,890,0.229
DAPR-2255--Audio_Hardware_I/Capacitors/Axial.jpg,960,664,149,RGB,0.101,0.409,1315,0.11
DAPR-2255--Audio_Hardware_I/Capacitors/Charging_Graph.jpg,1536,1024,952,RGB,0.947,0.973,255,0.008
DAPR-2255--Audio_Hardware_I/Capacitors/Leyden_Jar.png,1448,1086,1838,RGB,0.023,0.152,637,0.507
DAPR-2255--Audio_Hardware_I/Capacitors/Ceramic.jpg,1000,667,30,RGB,0.683,0.927,623,0.028
DAPR-2255--Audio_Hardware_I/Capacitors/Kit_Value_Labels.jpg,3590,2018,1735,RGB,0.011,0.062,4535,0.465
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_Aluminum.png,1536,1024,1877,RGB,0.515,0.656,1797,0.125
DAPR-2255--Audio_Hardware_I/Capacitors/Various_Types.jpg,960,640,132,RGB,0.052,0.219,2880,0.232
DAPR-2255--Audio_Hardware_I/Capacitors/Kit_Storage_Bins.jpg,2382,1414,985,RGB,0.026,0.163,856,0.085
DAPR-2255--Audio_Hardware_I/Capacitors/Charging_Curve.png,2100,880,52,RGB,0.969,0.995,95,0.012
DAPR-2255--Audio_Hardware_I/Capacitors/Charging_Curve.jpg,2100,880,119,RGB,0.953,0.969,259,0.009
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_3D_Render.jpg,615,615,48,RGB,0.065,0.4,746,0.264
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_Types.jpg,960,559,102,RGB,0.213,0.605,3502,0.323
DAPR-2255--Audio_Hardware_I/Capacitors/Supercap.jpg,960,720,178,RGB,0.091,0.259,3736,0.375
DAPR-2255--Audio_Hardware_I/Capacitors/Charging_Stages.jpg,960,360,30,RGBA,0.927,0.973,89,0.008
DAPR-2255--Audio_Hardware_I/Capacitors/Assignment_Bench.jpg,1600,900,319,RGB,0.303,0.696,855,0.076
DAPR-2255--Audio_Hardware_I/Capacitors/Film_Cap.jpg,960,611,83,RGB,0.199,0.76,456,0.011
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_Large_Bank.jpg,1600,1200,362,RGB,0.071,0.201,3660,0.154
DAPR-2255--Audio_Hardware_I/Capacitors/Types_in_Audio_Circuits.png,1536,1024,1459,RGB,0.527,0.808,1144,0.214
DAPR-2255--Audio_Hardware_I/Capacitors/High_Pass_RC.png,2100,880,30,RGB,0.979,0.998,55,0.009
DAPR-2255--Audio_Hardware_I/Capacitors/High_Pass_RC.jpg,2100,880,92,RGB,0.951,0.976,184,0.028
DAPR-2255--Audio_Hardware_I/Capacitors/Symbol.jpg,960,455,1,LA,0.904,1.0,4,0.0
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_Power_Supply_Macro.jpg,4194,2516,961,RGB,0.052,0.217,2465,0.46
DAPR-2255--Audio_Hardware_I/Capacitors/Pass_AC_Frequency_Dependent.png,1536,1024,1675,RGB,0.402,0.776,853,0.254
DAPR-2255--Audio_Hardware_I/Capacitors/Electrolytic_Variety.jpg,960,712,124,RGB,0.099,0.391,2563,0.256
DAPR-2255--Audio_Hardware_I/Capacitors/Rc_Filter.jpg,960,538,13,LA,0.93,0.995,32,0.0
DAPR-2255--Audio_Hardware_I/Capacitors/Kemet_330uF_450V_Product.jpg,714,716,44,RGB,0.569,0.893,107,0.001
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/LED_Circuit.png,1600,900,16,RGBA,0.97,0.998,56,0.003
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/LED_Circuit.jpg,1774,887,655,RGB,0.953,0.993,89,0.004
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Colors.png,1564,1006,1612,RGB,0.091,0.365,3207,0.59
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Diode_1N4001_B.jpg,960,203,37,RGB,0.069,0.35,564,0.058
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Cathode_Band_and_Symbol.png,2100,880,31,RGB,0.938,0.997,68,0.018
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/LED_5mm_Cycling.jpg,960,1200,159,RGB,0.144,0.504,1920,0.735
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Photodiode_Symbol.jpg,960,333,9,LA,0.91,0.992,32,0.0
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/1N4001_Diode.jpg,960,640,12,RGB,0.977,0.983,179,0.002
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Overview_Banner.png,1600,600,560,P,0.089,0.469,204,0.321
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Reverse_Polarity_Protection.png,1600,900,157,RGBA,0.956,0.985,115,0.003
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Assorted_LEDs.jpg,960,338,29,RGB,0.245,0.824,1093,0.087
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Zener_Photo.jpg,960,640,69,RGB,0.221,0.812,915,0.052
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/LED_RGB_Projector.jpg,960,640,78,RGB,0.043,0.175,4169,0.856
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Assignment_Bench.jpg,1600,900,310,RGB,0.377,0.858,1146,0.029
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Schottky_Symbol.jpg,960,412,8,LA,0.937,0.995,32,0.0
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Braun_Portrait.jpg,280,396,63,RGB,0.123,0.616,32,0.0
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Bridge_Rectifier.jpg,480,416,13,RGB,0.94,0.984,32,0.0
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Diode_Symbol.jpg,960,412,7,LA,0.942,0.995,32,0.0
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Zener_Symbol.jpg,960,400,22,RGB,0.961,0.992,64,0.028
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Kit_Parts.jpg,960,720,116,RGB,0.097,0.499,2255,0.122
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Series_Resistor_Method.jpg,2100,880,145,RGB,0.802,0.845,957,0.058
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Series_Resistor_Method.png,2100,880,93,RGB,0.954,0.987,135,0.018
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/RGB_LED.jpg,960,640,32,RGB,0.912,0.927,556,0.014
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Flyback_Protection.png,1600,900,226,RGBA,0.949,0.987,123,0.005
DAPR-2255--Audio_Hardware_I/Diodes_and_LEDs/Protection_Circuits_Diagram.png,1586,992,1069,RGB,0.797,0.905,462,0.11
DAPR-2255--Audio_Hardware_I/Schematics/Fuse_Symbol.png,1600,900,190,RGBA,0.938,0.988,61,0.001
DAPR-2255--Audio_Hardware_I/Schematics/Junction_Dot.jpg,2100,880,91,RGB,0.944,0.981,160,0.018
DAPR-2255--Audio_Hardware_I/Schematics/Connector_Jack_Symbol.png,1600,900,248,RGBA,0.929,0.991,64,0.002
DAPR-2255--Audio_Hardware_I/Schematics/Junction_Dot.png,2100,880,25,RGB,0.982,0.998,57,0.008
DAPR-2255--Audio_Hardware_I/Schematics/Earth_Ground_Symbol.jpg,960,1440,3,LA,0.937,1.0,2,0.0
DAPR-2255--Audio_Hardware_I/Schematics/Circuit_Board_Detail.jpg,960,606,130,RGB,0.009,0.059,2942,0.347
DAPR-2255--Audio_Hardware_I/Schematics/Opamp_Symbol.jpg,960,720,30,RGBA,0.937,0.992,47,0.001
DAPR-2255--Audio_Hardware_I/Schematics/Reference_Designators.png,1448,1086,1569,RGB,0.531,0.742,1856,0.178
DAPR-2255--Audio_Hardware_I/Schematics/Battery_Schematic_Symbol.png,1774,887,754,RGBA,0.662,0.893,465,0.115
DAPR-2255--Audio_Hardware_I/Schematics/Microphone_Symbol.png,1600,900,233,RGBA,0.942,0.99,66,0.001
DAPR-2255--Audio_Hardware_I/Schematics/Loudspeaker_Symbol.png,1600,900,234,RGBA,0.943,0.988,75,0.002
DAPR-2255--Audio_Hardware_I/Schematics/Assignment_Bench.jpg,1600,900,408,RGB,0.016,0.096,2596,0.301
DAPR-2255--Audio_Hardware_I/Schematics/Voltage_Source.jpg,960,960,14,LA,0.949,0.998,31,0.0
DAPR-2255--Audio_Hardware_I/Schematics/PCB_Photo.jpg,960,640,341,RGB,0.025,0.143,5228,0.485
DAPR-2255--Audio_Hardware_I/Schematics/Wire_Junction.png,1774,887,665,RGB,0.923,0.994,98,0.007
DAPR-2255--Audio_Hardware_I/Schematics/Breadboard_Circuit.jpg,960,720,192,RGB,0.014,0.087,2250,0.452
DAPR-2255--Audio_Hardware_I/Schematics/Logic_Gates.png,1600,900,115,RGBA,0.962,0.988,104,0.004
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Ferrite_Bead_Cable.jpg,960,720,41,L,0.488,0.909,32,0.0
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Audio_Voltage_Current_Impedance.png,1536,1024,1837,RGB,0.263,0.689,1579,0.264
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/PCB_Transformer.jpg,960,723,64,RGB,0.661,0.754,1282,0.116
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Air_Coil.jpg,960,720,80,RGB,0.275,0.745,1101,0.076
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Ferrite_Bead_Symbol.jpg,960,753,14,LA,0.861,0.997,32,0.0
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Overview_Banner.png,1600,600,495,P,0.029,0.168,228,0.235
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Chip_Inductor_Internal_Structure.jpg,1448,822,159,RGB,0.59,0.719,1226,0.064
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Turns_Ratio_Three_Jobs.jpg,2100,880,261,RGB,0.669,0.703,1631,0.149
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Turns_Ratio_Three_Jobs.png,2100,880,77,RGB,0.606,0.991,121,0.023
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Turns_Ratio.png,1536,1024,1244,RGB,0.706,0.922,383,0.055
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Ferrite_Bead_Bare.jpg,960,690,53,RGB,0.741,0.814,591,0.047
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Ferrite_Toroid_Core.jpg,960,720,68,L,0.296,0.717,27,0.0
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Toroidal.jpg,960,720,94,RGB,0.138,0.429,1940,0.27
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Assorted_Inductors.png,1564,1006,1433,RGB,0.738,0.799,1401,0.056
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Assignment_Bench.jpg,1600,900,376,RGB,0.052,0.267,1747,0.146
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Choke.jpg,760,899,179,RGB,0.6,0.712,1054,0.046
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Faraday_Portrait.jpg,960,1241,151,RGB,0.205,0.737,560,0.571
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Symbol.jpg,960,960,18,LA,0.901,0.997,30,0.0
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Power_Xfmr.jpg,960,573,154,RGB,0.019,0.122,2471,0.137
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Toroidal_Xfmr.jpg,960,1234,179,RGB,0.427,0.801,3466,0.097
DAPR-2255--Audio_Hardware_I/Inductors_and_Transformers/Ferrite_Beads.jpg,960,819,595,RGBA,0.664,0.729,665,0.049
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/OSC_DIN_Beside_Ethernet.jpg,1600,900,241,RGB,0.211,0.602,656,0.077
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/Qlab_Cue_List.png,1600,1072,460,RGB,0.511,0.957,164,0.003
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/OSC_Address_Anatomy.png,1600,900,116,RGBA,0.972,0.987,135,0.009
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/Msc_Device_Id.png,1600,900,641,RGBA,0.635,0.794,671,0.168
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/USB_C_Instrument_Rear.jpg,1600,900,358,RGB,0.332,0.876,249,0.04
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/1_vs_2_Resolution.png,1600,900,762,RGBA,0.535,0.724,573,0.312
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/GM_Channel_10.png,1600,900,23,RGBA,0.97,0.994,88,0.013
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/Device_GM_Mmc_Properties.png,1014,592,124,RGB,0.519,0.973,177,0.011
DAPR-2255--Audio_Hardware_I/MIDI__MIDI_Evolution_and_Extended_Protocols/Cc_to_DMX_Scaling.png,1600,900,745,RGBA,0.648,0.843,693,0.305
DAPR-2255--Audio_Hardware_I/_duplicates/wiring-safety/wiring-safety-soldering-iron.jpg,1536,1024,281,RGB,0.728,0.83,1009,0.055
DAPR-2255--Audio_Hardware_I/_duplicates/wiring-safety/wiring-safety-breadboard.png,307,545,13,RGB,0.369,0.861,45,0.252
DAPR-2255--Audio_Hardware_I/_duplicates/wiring-safety/wiring-safety-footswitch.jpg,960,720,173,RGB,0.051,0.298,846,0.092
DAPR-2020--Core_Mixing/Effects__Dynamic_Effects/Dyn3_Compressor_Controls.png,457,153,71,RGB,0.146,0.614,848,0.043
DAPR-2020--Core_Mixing/Effects__Dynamic_Effects/Side_Chain_Filter_Kick_Pumping.png,1600,900,344,RGBA,0.944,0.959,469,0.034
DAPR-2020--Core_Mixing/Effects__Dynamic_Effects/Compression_Dynamic_Range.png,1672,941,1804,RGBA,0.084,0.321,813,0.093
DAPR-2020--Core_Mixing/Effects__Dynamic_Effects/Six_Rules_of_Compression.png,1921,1080,1435,RGBA,0.408,0.693,1368,0.158
DAPR-2020--Core_Mixing/Effects__Dynamic_Effects/Attack_Too_Fast_Transient_Loss.png,1600,900,310,RGBA,0.925,0.977,251,0.053
DAPR-2020--Core_Mixing/Effects__Delay_and_Stereo_Enhancements/Figure_8_Null_Plane.png,1600,900,469,RGBA,0.794,0.969,278,0.075
DAPR-2020--Core_Mixing/Effects__Delay_and_Stereo_Enhancements/Moogerfooger_Analog_Delay.png,502,462,343,RGB,0.068,0.416,1344,0.224
DAPR-2020--Core_Mixing/Effects__Delay_and_Stereo_Enhancements/Width_That_Survives_Mono.jpg,1600,900,335,RGB,0.036,0.248,577,0.341
DAPR-2020--Core_Mixing/Effects__Delay_and_Stereo_Enhancements/Mono_Collapse_Check.png,1600,900,315,RGBA,0.929,0.961,444,0.051
DAPR-2020--Core_Mixing/Effects__Delay_and_Stereo_Enhancements/Stereo_Delay_Mono_Compatibility.png,1672,941,1325,RGB,0.338,0.928,616,0.178
DAPR-2020--Core_Mixing/Monitoring__Calibration_and_Monitoring/Headphone_Seal_Cross_Section.png,1600,900,598,RGBA,0.893,0.943,332,0.02
DAPR-2020--Core_Mixing/Monitoring__Calibration_and_Monitoring/Gain_Stages_Chain.png,1600,900,235,RGBA,0.968,0.983,148,0.004
DAPR-2020--Core_Mixing/Monitoring__Calibration_and_Monitoring/Ms_Matrix_Signal_Flow.png,1600,900,381,RGBA,0.929,0.952,367,0.028
DAPR-2020--Core_Mixing/Monitoring__Calibration_and_Monitoring/Head_Torso_Measurement.png,1600,900,222,RGBA,0.961,0.98,172,0.006
DAPR-2020--Core_Mixing/Monitoring__Calibration_and_Monitoring/Metering_Preferences.png,1116,1400,185,RGB,0.791,0.964,93,0.002
DAPR-2020--Core_Mixing/Pro_Tools__Fundamentals/Dashboard_New_Session.png,1252,1400,138,RGB,0.796,0.969,568,0.006
DAPR-2020--Core_Mixing/Pro_Tools__Fundamentals/PT_Identify_Beat_Bar_Beat_Markers.jpg,383,92,14,RGB,0.18,0.419,837,0.179
DAPR-2020--Core_Mixing/Pro_Tools__Fundamentals/Playback_Engine_Window.png,503,670,53,RGBA,0.827,0.951,61,0.003
DAPR-2020--Core_Mixing/Pro_Tools__Fundamentals/Workstation_Before_You_Start.jpg,1600,900,284,RGB,0.101,0.236,1930,0.325
DAPR-2020--Core_Mixing/Professional_Practice__Presentations_and_Sessions/Professional_Practice_Network_Drive_Path.png,1600,900,280,RGBA,0.879,0.973,182,0.051
DAPR-2020--Core_Mixing/Professional_Practice__Presentations_and_Sessions/Ten_Minutes_Divided.jpg,1600,900,271,RGB,0.108,0.511,1813,0.121
